,Punctuation,Tags,Citations,Numeric,Capitals,Unique_Words,Word_Counts,Short_Words,Medium_Words,Long_Words,Positive_Score,Negative_Score,Intensity_Score
22,0.0,1.0,0.0,8.0,83.0,190.0,307.0,221.0,80.0,6.0,24.0,12.0,64.33333333333333
23,0.0,0.0,0.0,4.0,65.0,173.0,270.0,204.0,61.0,5.0,16.0,10.0,54.333333333333336
24,1.0,0.0,0.0,0.0,61.0,178.0,305.0,234.0,61.0,10.0,21.0,14.0,79.0
25,1.0,1.0,0.0,12.0,97.0,222.0,386.0,302.0,78.0,6.0,22.0,20.666666666666668,96.0
26,0.0,1.0,0.0,8.0,92.0,184.0,350.0,276.0,67.0,7.0,18.0,17.666666666666664,81.83333333333333
27,1.0,3.0,0.0,30.0,122.0,251.0,457.0,343.0,100.0,14.0,16.0,25.666666666666664,81.0
28,0.0,6.0,0.0,16.0,95.0,182.0,327.0,242.0,65.0,20.0,23.0,13.0,63.66666666666666
29,1.0,18.0,0.0,81.0,167.0,242.0,431.0,335.0,77.0,19.0,25.0,11.0,78.33333333333334
30,0.0,0.0,0.0,13.0,66.0,210.0,357.0,285.0,65.0,7.0,16.0,24.5,65.0
31,0.0,0.0,0.0,19.0,100.0,232.0,418.0,310.0,91.0,17.0,24.0,11.0,67.33333333333334
32,0.0,0.0,0.0,3.0,88.0,236.0,413.0,291.0,101.0,21.0,27.0,17.0,84.66666666666667
33,1.0,0.0,0.0,8.0,98.0,263.0,511.0,388.0,104.0,19.0,30.0,28.0,110.75
34,1.0,0.0,0.0,6.0,61.0,168.0,291.0,232.0,48.0,11.0,24.0,4.5,57.5
35,1.0,1.0,0.0,5.0,90.0,156.0,281.0,217.0,57.0,7.0,15.0,18.166666666666668,62.16666666666666
36,0.0,1.0,0.0,5.0,124.0,222.0,377.0,292.0,78.0,7.0,20.666666666666668,14.666666666666666,82.33333333333333
37,1.0,0.0,0.0,14.0,64.0,251.0,439.0,357.0,68.0,14.0,31.5,18.0,93.0
38,7.0,17.0,1.0,87.0,202.0,320.0,631.0,476.0,127.0,28.0,33.0,27.0,111.66666666666669
39,8.0,9.0,0.0,66.0,189.0,241.0,510.0,383.0,102.0,25.0,36.0,27.5,110.66666666666666
40,4.0,3.0,0.0,29.0,166.0,189.0,439.0,349.0,76.0,14.0,36.0,18.0,101.16666666666666
41,2.0,0.0,0.0,0.0,84.0,171.0,299.0,243.0,53.0,3.0,27.0,12.333333333333332,80.0
42,1.0,0.0,0.0,4.0,96.0,190.0,308.0,225.0,74.0,9.0,21.0,10.0,52.66666666666667
43,2.0,2.0,0.0,12.0,111.0,173.0,382.0,293.0,79.0,10.0,27.0,20.0,101.16666666666669
44,2.0,1.0,0.0,13.0,81.0,188.0,310.0,249.0,56.0,5.0,26.0,17.0,85.66666666666666
45,0.0,0.0,0.0,2.0,80.0,171.0,344.0,261.0,71.0,12.0,35.0,18.0,76.33333333333333
46,2.0,6.0,0.0,17.0,111.0,187.0,390.0,307.0,71.0,12.0,35.0,17.0,87.66666666666667
47,1.0,2.0,0.0,6.0,73.0,178.0,320.0,254.0,52.0,14.0,26.0,18.5,89.49999999999999
48,2.0,0.0,0.0,16.0,51.0,209.0,359.0,278.0,71.0,10.0,17.0,13.0,60.0
49,0.0,0.0,0.0,7.0,64.0,174.0,300.0,235.0,58.0,7.0,20.0,15.0,68.66666666666666
50,0.0,0.0,0.0,14.0,95.0,247.0,493.0,354.0,120.0,19.0,39.5,8.5,88.83333333333333
51,5.0,2.0,0.0,11.0,77.0,184.0,346.0,267.0,71.0,8.0,24.0,27.0,93.66666666666666
52,0.0,0.0,0.0,28.0,57.0,221.0,413.0,307.0,98.0,8.0,28.0,12.5,82.83333333333333
53,2.0,1.0,0.0,6.0,86.0,209.0,371.0,306.0,51.0,14.0,34.0,15.0,95.16666666666666
54,10.0,8.0,0.0,35.0,529.0,237.0,548.0,401.0,128.0,19.0,44.5,29.0,138.83333333333331
55,5.0,15.0,0.0,97.0,172.0,254.0,478.0,357.0,90.0,31.0,29.0,18.0,113.0
56,1.0,6.0,0.0,20.0,117.0,220.0,402.0,301.0,83.0,18.0,33.0,12.0,85.5
57,4.0,11.0,1.0,88.0,169.0,277.0,545.0,419.0,112.0,14.0,24.0,44.5,120.83333333333331
58,2.0,19.0,0.0,81.0,303.0,401.0,791.0,614.0,143.0,34.0,45.5,32.0,163.91666666666666
59,1.0,1.0,1.0,6.0,101.0,178.0,349.0,290.0,52.0,7.0,30.0,11.5,80.16666666666666
60,2.0,2.0,0.0,21.0,112.0,219.0,386.0,296.0,62.0,28.0,11.0,17.0,64.0
61,2.0,1.0,1.0,22.0,104.0,184.0,345.0,271.0,68.0,6.0,15.0,8.0,54.0
62,2.0,34.0,0.0,40.0,214.0,248.0,534.0,432.0,71.0,31.0,33.0,11.0,100.33333333333334
63,6.0,3.0,0.0,33.0,139.0,205.0,415.0,343.0,58.0,14.0,29.0,10.666666666666666,74.33333333333333
64,6.0,2.0,0.0,17.0,148.0,263.0,482.0,371.0,92.0,19.0,38.5,39.66666666666666,157.0
65,0.0,0.0,0.0,10.0,205.0,515.0,1207.0,949.0,235.0,23.0,84.0,53.66666666666666,269.6666666666667
66,0.0,0.0,0.0,0.0,65.0,184.0,347.0,273.0,68.0,6.0,26.0,8.0,69.33333333333334
67,2.0,5.0,0.0,12.0,116.0,170.0,324.0,266.0,46.0,12.0,30.0,9.0,81.33333333333334
68,5.0,22.0,0.0,81.0,217.0,225.0,465.0,365.0,75.0,25.0,16.0,14.0,61.0
69,2.0,5.0,0.0,35.0,152.0,176.0,428.0,352.0,66.0,10.0,32.0,6.333333333333334,77.83333333333333
70,5.0,10.0,0.0,83.0,108.0,210.0,412.0,306.0,95.0,11.0,19.0,17.666666666666668,78.83333333333333
71,22.0,33.0,3.0,103.0,308.0,313.0,595.0,435.0,125.0,35.0,38.0,30.0,134.66666666666669
72,0.0,1.0,0.0,10.0,127.0,240.0,485.0,388.0,88.0,9.0,20.0,21.0,93.66666666666666
73,0.0,0.0,0.0,6.0,78.0,206.0,381.0,315.0,59.0,7.0,17.5,9.666666666666668,62.16666666666666
74,2.0,0.0,0.0,21.0,169.0,324.0,643.0,473.0,136.0,34.0,34.5,22.0,96.66666666666669
75,3.0,3.0,0.0,12.0,123.0,295.0,550.0,419.0,109.0,22.0,32.0,15.0,94.66666666666669
76,0.0,0.0,0.0,6.0,70.0,196.0,381.0,310.0,63.0,8.0,15.0,11.5,59.66666666666666
77,1.0,0.0,0.0,11.0,57.0,199.0,356.0,287.0,67.0,2.0,24.0,2.6666666666666665,52.33333333333333
78,2.0,0.0,0.0,0.0,92.0,243.0,428.0,317.0,92.0,19.0,40.0,25.0,122.33333333333334
79,11.0,28.0,0.0,176.0,256.0,335.0,687.0,526.0,125.0,36.0,50.0,28.0,179.16666666666669
80,1.0,0.0,0.0,7.0,89.0,194.0,386.0,294.0,83.0,9.0,29.0,15.666666666666666,86.0
81,0.0,0.0,0.0,6.0,55.0,181.0,281.0,207.0,68.0,6.0,16.0,11.0,57.0
82,0.0,0.0,0.0,4.0,70.0,156.0,288.0,246.0,36.0,6.0,17.0,14.0,71.66666666666666
83,2.0,1.0,0.0,13.0,109.0,281.0,521.0,419.0,90.0,12.0,33.5,18.33333333333333,102.16666666666666
84,1.0,0.0,0.0,0.0,32.0,133.0,197.0,156.0,35.0,6.0,19.0,8.0,54.333333333333336
85,3.0,0.0,0.0,25.0,59.0,231.0,437.0,343.0,87.0,7.0,13.0,7.0,35.666666666666664
86,1.0,0.0,0.0,16.0,73.0,187.0,411.0,354.0,50.0,7.0,13.5,7.0,51.16666666666666
87,12.0,27.0,0.0,219.0,269.0,264.0,390.0,242.0,96.0,52.0,16.5,8.0,46.583333333333336
88,7.0,2.0,1.0,53.0,86.0,243.0,448.0,322.0,103.0,23.0,31.0,12.0,84.33333333333333
89,7.0,13.0,1.0,62.0,166.0,245.0,461.0,309.0,121.0,31.0,22.0,23.0,90.16666666666666
90,0.0,0.0,0.0,2.0,55.0,198.0,355.0,272.0,62.0,21.0,14.0,17.0,66.0
91,7.0,12.0,0.0,72.0,158.0,244.0,501.0,402.0,83.0,16.0,29.0,19.333333333333336,107.16666666666669
92,4.0,2.0,0.0,14.0,91.0,217.0,403.0,333.0,57.0,13.0,26.5,12.5,95.83333333333334
93,2.0,0.0,0.0,7.0,52.0,168.0,284.0,211.0,65.0,8.0,20.0,17.0,69.33333333333334
94,1.0,6.0,1.0,38.0,147.0,272.0,511.0,378.0,113.0,20.0,38.5,28.5,140.66666666666666
95,1.0,0.0,0.0,0.0,88.0,249.0,472.0,389.0,75.0,8.0,25.0,25.0,96.66666666666669
96,1.0,0.0,0.0,19.0,93.0,219.0,428.0,320.0,93.0,15.0,25.0,31.5,106.83333333333334
97,1.0,5.0,1.0,34.0,98.0,281.0,540.0,440.0,86.0,14.0,31.0,22.0,121.16666666666666
98,0.0,0.0,0.0,0.0,66.0,182.0,313.0,241.0,58.0,14.0,23.0,8.0,63.16666666666666
99,0.0,3.0,0.0,40.0,111.0,230.0,432.0,324.0,88.0,20.0,37.0,20.0,105.16666666666666
100,1.0,2.0,2.0,15.0,95.0,187.0,354.0,297.0,49.0,8.0,29.0,5.0,75.0
101,0.0,0.0,0.0,23.0,60.0,215.0,359.0,260.0,79.0,20.0,27.0,15.5,77.16666666666667
102,0.0,0.0,0.0,12.0,81.0,230.0,442.0,345.0,92.0,5.0,12.0,23.0,78.66666666666667
103,0.0,1.0,1.0,23.0,85.0,184.0,353.0,295.0,55.0,3.0,7.0,11.0,60.333333333333336
104,1.0,0.0,0.0,0.0,87.0,236.0,441.0,341.0,85.0,15.0,29.0,24.0,106.33333333333331
105,0.0,0.0,0.0,4.0,74.0,246.0,456.0,331.0,107.0,18.0,24.0,24.0,110.5
106,0.0,0.0,0.0,12.0,97.0,210.0,445.0,368.0,70.0,7.0,24.0,19.5,117.33333333333334
107,10.0,12.0,1.0,72.0,124.0,254.0,456.0,349.0,95.0,12.0,20.0,14.0,73.83333333333333
108,0.0,0.0,0.0,8.0,20.0,91.0,123.0,90.0,27.0,6.0,8.0,8.0,29.333333333333336
109,0.0,1.0,0.0,18.0,112.0,254.0,438.0,313.0,101.0,24.0,31.5,17.666666666666668,100.0
110,0.0,0.0,0.0,12.0,81.0,198.0,351.0,280.0,66.0,5.0,22.0,13.0,65.33333333333333
111,0.0,1.0,0.0,42.0,77.0,249.0,514.0,433.0,73.0,8.0,16.5,8.0,51.5
112,1.0,0.0,0.0,2.0,81.0,218.0,379.0,286.0,75.0,18.0,19.0,11.5,63.333333333333336
113,0.0,0.0,0.0,38.0,55.0,188.0,364.0,285.0,64.0,15.0,13.0,26.33333333333333,67.33333333333333
114,13.0,16.0,0.0,79.0,175.0,255.0,461.0,313.0,125.0,23.0,32.0,11.666666666666666,86.16666666666666
115,0.0,0.0,0.0,32.0,56.0,181.0,306.0,231.0,64.0,11.0,21.0,17.666666666666664,85.83333333333333
116,1.0,1.0,0.0,15.0,72.0,183.0,359.0,287.0,64.0,8.0,35.0,16.666666666666664,92.0
117,3.0,6.0,0.0,24.0,119.0,194.0,342.0,256.0,71.0,15.0,28.0,20.0,83.33333333333334
118,0.0,1.0,0.0,17.0,114.0,202.0,345.0,244.0,88.0,13.0,21.0,13.0,70.33333333333333
119,2.0,2.0,0.0,11.0,71.0,190.0,327.0,230.0,80.0,17.0,25.0,18.5,82.16666666666667
120,1.0,14.0,0.0,56.0,129.0,171.0,274.0,206.0,50.0,18.0,18.0,15.5,69.83333333333333
121,2.0,1.0,0.0,6.0,54.0,141.0,224.0,174.0,40.0,10.0,22.0,15.666666666666668,63.66666666666666
122,6.0,9.0,1.0,41.0,97.0,199.0,342.0,258.0,68.0,16.0,22.0,10.0,70.66666666666667
123,6.0,4.0,1.0,22.0,106.0,257.0,434.0,341.0,73.0,20.0,27.0,22.666666666666668,104.66666666666664
124,0.0,0.0,0.0,6.0,48.0,187.0,353.0,231.0,98.0,24.0,10.0,6.0,48.0
125,2.0,0.0,0.0,0.0,44.0,156.0,276.0,212.0,57.0,7.0,11.0,7.0,44.33333333333333
126,3.0,1.0,0.0,8.0,59.0,188.0,314.0,233.0,66.0,15.0,22.5,17.0,81.0
127,3.0,0.0,0.0,14.0,62.0,187.0,328.0,279.0,43.0,6.0,24.0,7.0,83.33333333333333
128,0.0,0.0,0.0,12.0,37.0,195.0,340.0,273.0,59.0,8.0,21.0,20.5,84.49999999999999
129,0.0,0.0,0.0,0.0,47.0,143.0,226.0,177.0,38.0,11.0,13.0,10.0,50.0
130,1.0,0.0,0.0,4.0,83.0,222.0,398.0,300.0,83.0,15.0,35.0,13.0,105.33333333333331
131,2.0,2.0,0.0,7.0,69.0,233.0,453.0,352.0,85.0,16.0,22.0,32.0,105.5
132,3.0,6.0,1.5,60.0,124.0,314.0,530.0,390.0,104.0,36.0,31.666666666666664,21.0,107.41666666666666
133,1.0,2.0,0.0,8.0,91.0,225.0,397.0,305.0,80.0,12.0,25.0,17.0,89.33333333333334
134,1.0,0.0,0.0,10.0,65.0,207.0,339.0,266.0,65.0,8.0,26.0,11.0,70.66666666666667
135,8.0,12.0,0.0,62.0,257.0,288.0,568.0,442.0,99.0,27.0,35.0,24.0,128.0
136,1.0,0.0,0.0,0.0,49.0,188.0,344.0,281.0,55.0,8.0,21.0,18.666666666666664,93.5
137,0.0,0.0,0.0,2.0,90.0,167.0,324.0,245.0,69.0,10.0,26.5,14.5,76.58333333333334
138,0.0,0.0,0.0,0.0,83.0,190.0,384.0,293.0,77.0,14.0,24.0,21.0,96.83333333333331
139,2.0,1.0,0.0,8.0,49.0,148.0,244.0,188.0,46.0,10.0,16.0,20.0,64.66666666666666
140,8.0,12.0,3.0,68.0,169.0,258.0,447.0,327.0,86.0,34.0,26.0,16.166666666666668,82.91666666666667
141,0.0,0.0,0.0,2.0,125.0,276.0,616.0,488.0,108.0,20.0,60.0,21.0,162.66666666666666
142,3.0,10.0,1.0,61.0,94.0,224.0,407.0,314.0,76.0,17.0,19.0,36.0,108.0
143,2.0,0.0,0.0,11.0,72.0,219.0,380.0,291.0,79.0,10.0,17.0,22.0,81.83333333333334
144,0.0,0.0,0.0,0.0,41.0,156.0,251.0,209.0,34.0,8.0,14.0,11.0,51.33333333333333
145,0.0,0.0,0.0,4.0,93.0,247.0,506.0,399.0,89.0,18.0,30.0,31.666666666666668,145.0
146,1.0,3.0,0.0,15.0,69.0,236.0,436.0,328.0,89.0,19.0,24.5,14.666666666666666,80.83333333333333
147,3.0,0.0,0.0,4.0,72.0,233.0,425.0,340.0,74.0,11.0,32.0,24.333333333333336,118.0
148,2.0,0.0,0.0,0.0,32.0,155.0,320.0,269.0,42.0,9.0,22.0,15.0,90.33333333333331
149,1.0,1.0,0.0,17.0,95.0,227.0,412.0,287.0,105.0,20.0,26.0,9.0,87.66666666666667
150,0.0,0.0,0.0,1.0,60.0,248.0,420.0,325.0,83.0,12.0,30.0,20.0,93.33333333333331
151,0.0,0.0,0.0,12.0,92.0,234.0,441.0,349.0,82.0,10.0,14.0,35.0,107.16666666666666
152,2.0,3.0,0.0,18.0,96.0,152.0,265.0,201.0,54.0,10.0,25.0,20.666666666666664,79.66666666666666
153,1.0,0.0,0.0,4.0,120.0,290.0,613.0,447.0,142.0,24.0,35.0,22.0,105.91666666666666
154,1.0,5.0,0.0,33.0,126.0,253.0,420.0,306.0,93.0,21.0,30.0,9.5,83.58333333333334
155,0.0,0.0,0.0,2.0,97.0,216.0,381.0,295.0,69.0,17.0,35.0,14.5,90.33333333333331
156,1.0,4.0,0.0,35.0,110.0,244.0,410.0,301.0,86.0,23.0,21.0,13.5,78.16666666666667
157,1.0,5.0,2.0,15.0,110.0,208.0,370.0,251.0,96.0,23.0,34.0,17.0,99.33333333333331
158,1.0,2.0,0.0,9.0,100.0,190.0,313.0,218.0,83.0,12.0,9.0,9.666666666666666,35.0
159,0.0,1.0,0.0,15.0,106.0,265.0,538.0,424.0,89.0,25.0,45.0,28.166666666666664,132.5
160,0.0,0.0,0.0,0.0,77.0,185.0,338.0,251.0,71.0,16.0,17.0,23.0,87.16666666666667
161,2.0,0.0,0.0,10.0,119.0,277.0,580.0,430.0,136.0,14.0,34.0,28.0,121.16666666666669
162,0.0,0.0,0.0,10.0,50.0,156.0,232.0,191.0,33.0,8.0,16.0,11.0,58.333333333333336
163,5.0,1.0,0.0,23.0,90.0,181.0,316.0,227.0,69.0,20.0,27.0,14.5,77.83333333333333
164,8.0,8.0,1.0,69.0,140.0,229.0,382.0,278.0,81.0,23.0,23.0,19.33333333333333,80.0
165,0.0,1.0,0.0,6.0,72.0,197.0,316.0,246.0,57.0,13.0,26.5,14.5,74.33333333333333
166,5.0,7.0,0.0,44.0,131.0,183.0,303.0,216.0,75.0,12.0,11.0,15.0,49.0
167,1.0,1.0,2.0,78.0,72.0,187.0,373.0,269.0,78.0,26.0,11.0,30.0,70.33333333333333
168,3.0,1.0,0.0,14.0,91.0,229.0,409.0,343.0,56.0,10.0,31.0,31.83333333333333,130.5
169,1.0,0.0,0.0,0.0,74.0,204.0,378.0,298.0,71.0,9.0,38.5,15.0,114.16666666666666
170,1.0,1.0,0.0,8.0,74.0,169.0,288.0,225.0,55.0,8.0,23.0,13.0,73.0
171,10.0,26.0,0.0,140.0,460.0,257.0,556.0,377.0,114.0,65.0,39.0,19.33333333333333,115.83333333333331
172,1.0,0.0,0.0,4.0,66.0,194.0,329.0,271.0,50.0,8.0,17.0,13.0,63.00000000000001
173,12.0,19.0,0.0,89.0,198.0,274.0,499.0,388.0,89.0,22.0,33.5,18.666666666666664,105.0
174,16.0,14.0,4.0,110.0,233.0,267.0,458.0,340.0,93.0,25.0,35.0,33.16666666666667,141.83333333333331
175,1.0,0.0,0.0,0.0,41.0,160.0,256.0,194.0,48.0,14.0,13.0,10.666666666666668,45.333333333333336
176,6.0,1.0,0.0,9.0,58.0,179.0,300.0,244.0,46.0,10.0,17.5,19.0,78.83333333333333
177,2.0,0.0,0.0,9.0,44.0,240.0,441.0,364.0,58.0,19.0,21.0,11.333333333333332,94.33333333333331
178,0.0,0.0,0.0,0.0,66.0,179.0,293.0,216.0,66.0,11.0,17.0,5.0,37.33333333333333
179,2.0,2.0,2.0,36.0,88.0,251.0,492.0,361.0,110.0,21.0,50.0,14.0,110.75
180,1.0,1.0,0.0,16.0,89.0,216.0,373.0,286.0,79.0,8.0,24.0,25.0,89.83333333333334
181,2.0,0.0,0.0,1.0,59.0,154.0,247.0,176.0,55.0,16.0,16.0,8.0,46.0
182,0.0,1.0,0.0,13.0,42.0,142.0,228.0,162.0,56.0,10.0,3.0,23.0,45.0
183,2.0,0.0,0.0,11.0,75.0,249.0,502.0,400.0,79.0,23.0,22.0,23.5,110.83333333333331
184,2.0,0.0,0.0,14.0,50.0,131.0,202.0,159.0,37.0,6.0,13.0,2.0,28.75
185,1.0,2.0,0.0,6.0,70.0,130.0,223.0,166.0,51.0,6.0,17.0,8.0,49.66666666666666
186,0.0,0.0,0.0,16.0,56.0,242.0,451.0,334.0,101.0,16.0,22.5,19.0,82.5
187,0.0,0.0,0.0,7.0,46.0,195.0,319.0,241.0,64.0,14.0,19.5,11.666666666666664,63.500000000000014
188,1.0,0.0,0.0,10.0,126.0,378.0,781.0,659.0,106.0,16.0,37.0,28.5,139.33333333333334
189,1.0,0.0,0.0,3.0,53.0,195.0,334.0,270.0,60.0,4.0,34.5,24.0,108.66666666666666
190,2.0,14.0,1.0,68.0,135.0,282.0,498.0,383.0,88.0,27.0,46.0,23.0,131.66666666666669
191,3.0,6.0,0.0,29.0,115.0,193.0,334.0,256.0,65.0,13.0,30.0,23.666666666666668,103.0
192,1.0,1.0,0.0,15.0,110.0,256.0,492.0,412.0,71.0,9.0,25.0,21.5,102.83333333333331
193,0.0,2.0,0.0,17.0,102.0,193.0,348.0,282.0,55.0,11.0,21.0,22.0,69.5
194,1.0,2.0,1.0,19.0,116.0,225.0,420.0,316.0,88.0,16.0,19.0,21.0,84.33333333333334
195,0.0,1.0,0.0,11.0,79.0,268.0,493.0,335.0,135.0,23.0,27.5,19.0,91.08333333333334
196,2.0,1.0,0.0,24.0,159.0,174.0,318.0,256.0,55.0,7.0,30.0,15.0,94.33333333333331
197,1.0,0.0,0.0,2.0,121.0,261.0,556.0,476.0,67.0,13.0,52.0,20.5,154.83333333333334
198,0.0,3.0,0.5,7.0,68.0,191.0,311.0,243.0,52.0,16.0,29.0,22.0,92.5
199,4.0,1.0,0.0,27.0,118.0,255.0,464.0,359.0,92.0,13.0,28.0,11.5,101.83333333333331
200,0.0,0.0,0.0,0.0,84.0,174.0,323.0,267.0,46.0,10.0,22.5,14.0,71.66666666666666
201,1.0,0.0,0.0,4.0,90.0,219.0,404.0,306.0,82.0,16.0,22.0,22.0,97.0
202,0.0,4.0,0.0,15.0,62.0,211.0,359.0,282.0,56.0,21.0,25.0,21.0,84.66666666666666
203,2.0,2.0,0.0,14.0,90.0,209.0,355.0,280.0,62.0,13.0,26.0,26.0,97.33333333333331
204,2.0,4.0,0.0,25.0,128.0,258.0,545.0,420.0,113.0,12.0,35.0,5.0,92.33333333333334
205,9.0,8.0,1.0,49.0,179.0,328.0,626.0,478.0,126.0,22.0,28.0,28.0,121.33333333333331
206,0.0,0.0,0.0,0.0,48.0,193.0,352.0,275.0,68.0,9.0,23.0,31.0,99.5
207,2.0,0.0,0.0,60.0,90.0,274.0,579.0,434.0,120.0,25.0,24.666666666666664,14.5,75.08333333333334
208,0.0,1.0,0.0,10.0,98.0,269.0,503.0,380.0,103.0,20.0,37.0,34.66666666666667,127.66666666666664
209,11.0,15.0,2.0,97.0,289.0,293.0,584.0,455.0,105.0,24.0,37.5,28.666666666666668,133.33333333333331
210,1.0,1.0,0.0,6.0,98.0,189.0,373.0,297.0,60.0,16.0,26.0,16.0,92.66666666666669
211,2.0,3.0,0.0,18.0,95.0,190.0,343.0,270.0,62.0,11.0,21.0,21.0,93.33333333333331
212,0.0,3.0,0.0,11.0,96.0,197.0,372.0,284.0,73.0,15.0,16.0,19.0,66.33333333333334
213,3.0,12.0,0.0,73.0,174.0,256.0,497.0,392.0,89.0,16.0,50.0,14.0,130.5
214,0.0,0.0,0.0,0.0,65.0,248.0,421.0,326.0,81.0,14.0,18.0,26.0,97.33333333333331
215,0.0,3.0,2.0,21.0,89.0,221.0,383.0,307.0,63.0,13.0,28.0,27.5,101.83333333333334
216,1.0,0.0,0.0,0.0,56.0,170.0,287.0,218.0,62.0,7.0,14.0,10.0,52.33333333333334
217,4.0,2.0,0.0,16.0,85.0,284.0,577.0,483.0,82.0,12.0,37.5,11.0,115.83333333333331
218,2.0,0.0,0.0,4.0,88.0,205.0,348.0,285.0,59.0,4.0,31.0,19.0,94.66666666666669
219,1.0,2.0,1.0,10.0,89.0,218.0,440.0,354.0,73.0,13.0,31.0,13.666666666666668,91.0
220,1.0,2.0,1.0,6.0,77.0,189.0,347.0,265.0,65.0,17.0,39.5,14.0,107.66666666666669
221,4.0,6.0,0.0,33.0,112.0,178.0,294.0,216.0,63.0,15.0,23.0,9.0,70.33333333333333
222,2.0,1.0,0.0,0.0,90.0,235.0,447.0,356.0,75.0,16.0,29.0,21.0,107.33333333333331
223,0.0,4.0,0.0,16.0,88.0,193.0,314.0,252.0,41.0,21.0,29.5,10.666666666666666,82.33333333333333
224,4.0,0.0,0.0,4.0,61.0,169.0,320.0,258.0,52.0,10.0,26.0,9.0,76.33333333333333
225,4.0,0.0,0.0,0.0,64.0,222.0,402.0,305.0,85.0,12.0,20.0,12.0,66.83333333333333
226,2.0,0.0,0.0,0.0,43.0,147.0,213.0,170.0,37.0,6.0,17.0,8.666666666666666,52.333333333333336
227,2.0,3.0,0.0,14.0,98.0,185.0,369.0,298.0,65.0,6.0,29.0,12.0,84.16666666666667
228,2.0,0.0,0.0,8.0,113.0,289.0,514.0,391.0,105.0,18.0,38.0,26.0,127.33333333333331
229,0.0,1.0,0.0,9.0,70.0,174.0,316.0,255.0,51.0,10.0,34.0,16.666666666666664,107.66666666666666
230,0.0,0.0,0.0,0.0,94.0,229.0,389.0,310.0,68.0,11.0,27.0,19.666666666666664,96.66666666666669
231,4.0,6.0,0.0,37.0,139.0,241.0,450.0,338.0,85.0,27.0,33.0,27.0,119.66666666666666
232,1.0,0.0,0.0,0.0,49.0,187.0,286.0,220.0,53.0,13.0,16.0,13.5,66.5
233,0.0,0.0,0.0,0.0,110.0,301.0,613.0,497.0,101.0,15.0,29.0,19.833333333333336,96.0
234,3.0,0.0,0.0,0.0,93.0,187.0,388.0,310.0,55.0,23.0,43.0,9.5,112.5
235,0.0,0.0,0.0,4.0,101.0,188.0,354.0,287.0,61.0,6.0,17.0,17.0,65.83333333333334
236,6.0,6.0,0.0,30.0,125.0,201.0,345.0,261.0,64.0,20.0,31.0,20.33333333333333,103.83333333333334
237,4.0,6.0,0.0,43.0,116.0,326.0,612.0,465.0,121.0,26.0,40.0,30.666666666666668,126.33333333333331
238,3.0,5.0,3.0,25.0,146.0,264.0,543.0,442.0,86.0,15.0,36.0,20.666666666666668,120.0
