Word,Intensity,Valence,Position
agitate,2,-1,verb
agitated,2,-1,adj
agitation,2,-1,noun
agitator,2,-1,noun
agonies,2,-1,noun
agonize,2,-1,verb
agonizing,2,-1,adj
agonizing,2,-1,anypos
agonizingly,2,-1,anypos
agony,2,-1,noun
agree,2,1,verb
agreeability,2,1,anypos
agreeable,1,1,adj
agreeable,2,1,anypos
agreeableness,2,1,anypos
agreeably,2,1,anypos
agreement,1,1,adj
agreement,1,1,noun
aha,2,0,anypos
ail,1,-1,noun
ail,1,-1,verb
ailment,1,-1,noun
aimless,2,-1,adj
air,2,0,verb
airs,1,-1,adj
airs,1,-1,noun
alarm,1,-1,adj
alarm,1,-1,verb
alarmed,2,-1,adj
alarming,2,-1,adj
alarmingly,2,-1,anypos
alas,2,-1,anypos
alert,1,0,adj
alienate,1,-1,verb
alienated,1,-1,adj
alienation,1,-1,noun
all-time,1,0,adj
all-time,1,0,noun
allay,2,1,verb
allegation,2,-1,anypos
allegations,2,-1,adj
allege,1,-1,verb
allegations,2,-1,noun
allegorize,2,0,verb
allergic,1,-1,adj
alleviate,1,1,verb
alliance,2,0,anypos
alliances,2,0,adj
alliances,2,0,noun
allow,1,1,verb
allowable,1,1,adj
allure,2,1,verb
allure,2,1,noun
alluring,2,1,anypos
alluringly,2,1,anypos
allusion,2,0,adj
allusion,2,0,noun
allusions,2,0,anypos
ally,2,1,noun
almighty,2,1,adj
aloof,2,-1,adj
altercation,1,-1,noun
although,1,-1,anypos
altogether,2,0,anypos
altruist,2,1,noun
altruistic,2,1,adj
altruistically,2,1,adj
amaze,2,1,verb
amazed,2,1,adj
amazement,2,1,noun
amazing,2,1,adj
amazing,2,1,anypos
amazingly,2,1,anypos
ambiguous,2,-1,adj
ambiguity,2,-1,noun
ambitious,1,1,adj
ambitious,1,1,noun
ambitiously,1,1,anypos
ambivalence,2,-1,anypos
ambivalent,2,-1,adj
ambivalent,2,-1,noun
ambush,1,-1,noun
ambush,1,-1,verb
ameliorate,2,1,verb
amenable,2,1,adj
amenity,1,1,noun
amiability,2,1,noun
amiabily,2,1,adverb
amiable,2,1,adj
amicability,2,1,noun
amicable,2,1,adj
amicably,2,1,adverb
amiss,2,-1,anypos
amity,1,1,adj
amity,1,1,noun
amnesty,1,1,noun
amour,2,1,noun
ample,1,1,adj
amply,1,1,adverb
amplify,1,0,verb
amputate,1,-1,verb
amuse,2,1,verb
amusement,2,1,adj
amusement,2,1,noun
amusing,2,1,adj
amusing,2,1,anypos
amusingly,2,1,anypos
analytical,1,0,adj
anarchism,2,-1,noun
anarchist,2,-1,noun
anarchistic,2,-1,adj
anarchy,2,-1,noun
anemic,1,-1,adj
angel,1,1,noun
angelic,2,1,adj
anger,2,-1,adj
anger,2,-1,noun
anger,2,-1,verb
angrily,2,-1,anypos
angriness,2,-1,anypos
angry,2,-1,adj
anguish,2,-1,noun
anguish,2,-1,verb
annihilate,2,-1,verb
annihilation,2,-1,noun
animated,1,1,adj
animosity,2,-1,noun
annoy,2,-1,verb
annoyance,2,-1,noun
annoyed,2,-1,adj
annoying,2,-1,adj
annoying,2,-1,anypos
annoyingly,2,-1,anypos
anomalous,1,-1,adj
anomaly,1,-1,noun
antagonism,2,-1,noun
antagonist,1,-1,noun
antagonistic,2,-1,adj
antagonize,2,-1,verb
anti-,2,-1,noun
anti-American,2,-1,adj
anti-American,2,-1,noun
anti-Israeli,2,-1,adj
anti-Israeli,2,-1,noun
anti-Semites,2,-1,adj
anti-Semites,2,-1,noun
anti-US,2,-1,adj
anti-US,2,-1,noun
anti-occupation,2,-1,adj
anti-occupation,2,-1,noun
anti-proliferation,2,-1,adj
anti-proliferation,2,-1,noun
anti-social,2,-1,adj
anti-white,2,-1,adj
anti-white,2,-1,noun
antipathy,2,-1,noun
antiquated,2,-1,adj
antithetical,2,-1,adj
antithetical,2,-1,noun
anxieties,2,-1,noun
anxiety,2,-1,noun
anxious,2,-1,anypos
anxiously,2,-1,anypos
anxiousness,2,-1,noun
anyhow,2,0,anypos
anyway,2,0,anypos
anyways,2,0,anypos
apathetic,2,-1,adj
apathetic,2,-1,noun
apathetically,2,-1,adverb
apathy,2,-1,noun
ape,2,-1,verb
apocalypse,2,-1,noun
apocalyptic,2,-1,adj
apologist,2,-1,adj
apologist,2,-1,noun
apologists,2,-1,adj
apologists,2,-1,noun
apostle,2,1,adj
apostle,2,1,noun
apotheosis,2,1,adj
apotheosis,2,1,noun
appal,2,-1,verb
appall,2,-1,adj
appall,2,-1,anypos
appall,2,-1,verb
appalled,2,-1,adj
appalling,2,-1,adj
appallingly,2,-1,anypos
apparent,1,0,anypos
apparently,1,0,anypos
appeal,1,1,adj
appeal,1,1,noun
appeal,1,1,verb
appealing,2,1,adj
appear,1,0,anypos
appearance,1,0,adj
appearance,1,0,noun
appease,1,1,verb
applaud,2,1,verb
appreciable,1,1,adj
appreciate,2,1,verb
appreciation,2,1,adj
appreciation,2,1,noun
appreciative,2,1,anypos
appreciatively,2,1,anypos
appreciativeness,2,1,anypos
apprehend,1,0,verb
apprehension,2,-1,noun
apprehensions,2,-1,adj
apprehensions,2,-1,noun
apprehensive,2,-1,adj
apprehensive,2,-1,noun
apprehensively,2,-1,anypos
appropriate,1,1,adj
approval,1,1,noun
approve,1,1,verb
apt,1,1,adj
aptly,1,1,adverb
aptitude,1,1,noun
arbitrary,2,-1,adj
arcane,2,-1,adj
archaic,2,-1,adj
ardent,2,1,adj
ardently,2,1,anypos
ardor,2,1,noun
arduous,2,-1,adj
arduously,2,-1,anypos
aristocratic,1,1,adj
argue,2,-1,verb
argument,1,-1,adj
argument,1,-1,noun
argumentative,2,-1,anypos
arguments,1,-1,adj
arguments,1,-1,noun
arousal,2,1,anypos
arouse,2,1,verb
arousing,2,1,anypos
arresting,2,1,adj
arrogance,2,-1,noun
arrogant,2,-1,adj
arrogant,2,-1,anypos
arrogantly,2,-1,anypos
arrogantly,2,-1,anypos
articulate,2,1,adj
artificial,1,-1,adj
ascendant,2,1,adj
ascendant,2,1,noun
ascertainable,2,1,adj
ascertainable,2,1,noun
ashamed,2,-1,adj
asinine,2,-1,adj
asininely,2,-1,adverb
asinininity,2,-1,noun
askance,2,-1,adverb
asperse,2,-1,verb
aspersion,2,-1,noun
aspersions,2,-1,noun
aspiration,2,1,noun
aspirations,2,1,adj
aspirations,2,1,noun
aspire,2,1,verb
assail,1,-1,verb
assassinate,1,-1,verb
assassin,2,-1,noun
assault,1,-1,adj
assault,1,-1,noun
assent,2,1,verb
assertions,2,1,adj
assertions,2,1,noun
assertive,1,1,adj
assess,2,0,verb
assessment,1,0,adj
assessment,1,0,noun
assessments,1,0,adj
assessments,1,0,noun
asset,1,1,noun
assiduous,2,1,adj
assiduously,2,1,adverb
assuage,1,1,verb
assumption,1,0,adj
assumption,1,0,noun
assurance,1,1,adj
assurance,1,1,noun
assurances,1,1,adj
assurances,1,1,noun
assure,2,1,verb
assuredly,2,1,anypos
astonish,2,1,verb
astonished,2,1,adj
astonishing,2,1,adj
astonishing,2,1,anypos
astonishingly,2,1,anypos
astonishment,2,1,noun
astound,2,1,verb
astounded,2,1,adj
astounding,2,1,adj
astounding,2,1,anypos
astounding,2,1,anypos
astoundingly,2,1,anypos
astray,1,-1,adj
astronomic,2,0,adj
astronomical,2,0,adj
astronomically,2,0,anypos
astute,2,1,adj
astutely,2,1,adverb
asunder,2,-1,anypos
asylum,1,1,adj
asylum,1,1,noun
atrocious,2,-1,adj
atrocities,2,-1,noun
atrocity,2,-1,noun
atrophy,2,-1,verb
attack,1,-1,noun
attack,1,-1,verb
attain,1,1,verb
attainable,1,1,adj
attentive,2,1,adj
attest,2,1,verb
attitude,2,0,adj
attitude,2,0,noun
attitudes,1,0,adj
attitudes,1,0,noun
attraction,2,1,adj
attraction,2,1,noun
attractive,2,1,adj
attractive,2,1,noun
attractively,2,1,anypos
attune,1,1,adj
audacious,2,-1,adj
audaciously,2,-1,anypos
audaciousness,2,-1,noun
audacity,2,-1,noun
auspicious,2,1,adj
austere,2,-1,adj
authentic,1,1,adj
authoritarian,1,-1,adj
authoritative,1,1,adj
autocrat,2,-1,noun
autocratic,2,-1,adj
award,1,1,adj
award,1,1,verb
awareness,2,0,noun
aware,2,0,adj
autocratic,2,-1,adj
autocratic,2,-1,noun
autonomous,1,1,adj
avalanche,2,-1,adj
avalanche,2,-1,noun
avarice,2,-1,noun
avaricious,2,-1,adj
avariciously,2,-1,adj
avenge,2,-1,verb
aver,2,1,verb
averse,2,-1,anypos
aversion,2,-1,noun
avid,2,1,adj
avidly,2,1,anypos
avoid,1,-1,verb
avoidance,1,-1,noun
awe,2,1,noun
awe,2,1,verb
awed,2,1,adj
awesome,2,1,adj
awesome,2,1,anypos
awesomely,2,1,anypos
awesomeness,2,1,noun
awestruck,2,1,adj
awful,2,-1,adj
awful,2,-1,anypos
awfully,2,-1,anypos
awfulness,2,-1,anypos
awfulness,2,-1,noun
awkward,2,-1,adj
awkwardness,2,-1,noun
ax,2,-1,verb
babble,2,-1,verb
baby,2,0,adj
baby,2,0,noun
back,1,1,verb
backbite,2,-1,verb
backbiting,2,-1,anypos
backbone,1,1,noun
backward,2,-1,adj
backwardness,2,-1,noun
bad,2,-1,adj
badly,2,-1,adj
baffle,2,-1,verb
baffled,2,-1,adj
bafflement,2,-1,noun
baffling,2,-1,anypos
bait,2,-1,verb
balanced,1,1,adj
balk,2,-1,verb
banal,2,-1,adj
banal,2,-1,anypos
banalize,2,-1,verb
bane,2,-1,noun
banish,2,-1,adj
banish,2,-1,verb
banishment,2,-1,noun
bankrupt,1,-1,adj
bankrupt,1,-1,verb
bar,1,-1,verb
barbarian,2,-1,adj
barbarian,2,-1,noun
barbaric,2,-1,adj
barbarically,2,-1,anypos
barbarity,2,-1,adj
barbarity,2,-1,noun
barbarous,2,-1,adj
barbarous,2,-1,anypos
barbarously,2,-1,anypos
barely,1,-1,anypos
bargain,2,1,noun
bargain,2,1,adj
barren,2,-1,adj
baseless,2,-1,adj
bashful,2,-1,adj
basic,1,1,adj
basically,1,0,anypos
bask,1,1,verb
bastard,2,-1,anypos
bastard,2,-1,noun
batons,1,0,adj
batons,1,0,noun
battered,1,-1,adj
battering,1,-1,adj
battering,1,-1,noun
battle,1,-1,verb
battle-lines,2,-1,adj
battle-lines,2,-1,noun
battlefield,1,-1,noun
battleground,2,-1,adj
battleground,2,-1,noun
batty,2,-1,adj
beacon,1,1,noun
bearish,1,-1,adj
beast,2,-1,adj
beast,2,-1,noun
beastly,2,-1,adj
beatify,2,1,verb
beauteous,2,1,adj
beautiful,2,1,adj
beautiful,2,1,anypos
beautifully,2,1,anypos
beautify,2,1,verb
beauty,2,1,noun
bedlam,2,-1,noun
bedlamite,2,-1,noun
befit,2,1,verb
befitting,2,1,adj
befoul,2,-1,verb
befriend,2,1,verb
beg,2,-1,verb
beggar,1,-1,noun
beggarly,2,-1,adj
begging,2,-1,adj
begging,2,-1,noun
beguile,2,-1,verb
belated,1,-1,adj
belabor,2,-1,verb
beleaguer,2,-1,verb
belie,2,-1,verb
belief,2,0,adj
belief,2,0,noun
beliefs,1,0,adj
beliefs,1,0,noun
believable,2,1,adj
believe,2,0,verb
belittle,2,-1,verb
belittled,2,-1,adj
belittling,2,-1,anypos
bellicose,2,-1,adj
bellicose,2,-1,noun
belligerence,2,-1,noun
belligerent,2,-1,adj
belligerent,2,-1,anypos
belligerently,2,-1,anypos
beloved,2,1,adj
bemoan,2,-1,verb
bemoaning,2,-1,adj
bemused,2,-1,adj
benefactor,1,1,noun
beneficial,1,1,adj
beneficent,2,1,adj
beneficial,2,1,anypos
beneficially,2,1,anypos
beneficiary,2,1,adj
beneficiary,2,1,noun
benefit,1,1,adj
benefit,1,1,noun
benefits,1,1,adj
benefits,1,1,noun
benevolence,2,1,noun
benevolent,2,1,adj
benign,1,1,adj
bent,1,-1,adj
berate,2,-1,verb
bereave,2,-1,verb
bereavement,2,-1,noun
bereft,2,-1,anypos
berserk,2,-1,adj
beseech,2,-1,verb
beset,1,-1,adj
besides,2,0,anypos
besiege,1,-1,verb
besmirch,2,-1,verb
best,2,1,anypos
best-known,2,1,adj
best-performing,2,1,adj
best-selling,1,1,adj
bestial,2,-1,adj
betray,2,-1,verb
betrayal,2,-1,noun
betrayals,2,-1,noun
betrayer,2,-1,noun
better,2,1,adj
better,1,1,anypos
better-known,2,1,adj
better-than-expected,2,1,adj
bewail,2,-1,verb
beware,1,-1,verb
bewilder,2,-1,verb
bewildered,2,-1,adj
bewildering,2,-1,adj
bewildering,2,-1,anypos
bewilderingly,2,-1,anypos
bewilderment,2,-1,noun
bewitch,2,-1,verb
bias,2,-1,adj
bias,2,-1,noun
bias,2,-1,verb
biased,2,-1,adj
biased,2,-1,noun
biases,2,-1,adj
biases,2,-1,noun
bicker,2,-1,verb
bickering,2,-1,anypos
bid-rigging,1,-1,adj
big,1,0,adj
bitch,2,-1,verb
bitchy,2,-1,adj
biting,2,-1,adj
bitingly,2,-1,anypos
bitter,2,-1,adj
bitterly,2,-1,anypos
bitterness,2,-1,noun
bizarre,2,-1,adj
blab,2,-1,verb
blabber,2,-1,verb
black,1,-1,adj
blackmail,1,-1,verb
blah,2,-1,anypos
blame,2,-1,adj
blame,2,-1,noun
blame,2,-1,verb
blameless,2,1,adj
blameworthy,2,-1,adj
bland,2,-1,adj
blandish,2,-1,verb
blaspheme,2,-1,verb
blasphemous,2,-1,adj
blasphemous,2,-1,anypos
blasphemy,2,-1,noun
blast,1,-1,anypos
blasted,2,-1,anypos
blatant,2,-1,adj
blatantly,2,-1,adj
blather,2,-1,verb
bleak,2,-1,adj
bleakly,2,-1,anypos
bleakness,2,-1,noun
bleed,1,-1,verb
blemish,1,-1,noun
blemish,1,-1,verb
bless,2,1,verb
blessing,2,1,adj
blessing,2,1,noun
blind,1,-1,anypos
blinding,2,-1,adj
blinding,2,-1,anypos
blindingly,2,-1,adj
blindness,1,-1,adj
blindside,2,-1,verb
bliss,2,1,noun
blissful,2,1,adj
blissfully,2,1,adverb
blister,2,-1,verb
blistering,2,-1,adj
blithe,2,1,adj
bloated,2,-1,adj
block,1,-1,noun
block,1,-1,verb
blockhead,2,-1,adj
blood,1,0,adj
blood,1,-1,noun
bloodshed,2,-1,noun
bloodthirsty,2,-1,adj
bloody,1,-1,adj
bloom,1,1,verb
blossom,1,1,verb
blow,1,-1,adj
blow,1,-1,noun
blunder,2,-1,adj
blunder,2,-1,noun
blundering,2,-1,anypos
blunders,2,-1,anypos
blunt,2,-1,adj
blur,1,-1,verb
blurt,2,-1,verb
boast,2,1,verb
boast,2,-1,verb
boastful,2,-1,adj
boggle,2,-1,verb
bogus,2,-1,adj
boil,2,-1,verb
boiling,2,-1,adverb
boisterous,2,-1,adj
bold,2,1,adj
boldly,2,1,adverb
boldness,2,1,noun
bolster,2,1,verb
bombard,1,-1,verb
bomb,1,-1,verb
bombardment,2,-1,adj
bombardment,2,-1,noun
bombastic,2,-1,adj
bondage,2,-1,noun
bonkers,2,-1,adj
bonkers,2,-1,noun
bonny,2,1,adj
bonus,1,1,noun
boom,1,1,noun
booming,1,1,adj
boost,1,1,adj
boost,1,1,verb
bore,2,-1,verb
boredom,2,-1,noun
boring,2,-1,adj
boring,2,-1,anypos
botch,2,-1,verb
bother,2,-1,noun
bother,2,-1,verb
bothersome,2,-1,adj
boundless,2,1,adj
bountiful,2,1,adj
bowdlerize,2,-1,verb
boycott,1,-1,adj
boycott,1,-1,noun
brag,2,0,noun
brag,2,0,verb
braggart,2,-1,anypos
braggart,2,-1,noun
bragger,2,-1,anypos
bragger,2,-1,noun
brains,2,1,adj
brains,2,1,noun
brainwash,2,-1,verb
brainy,2,1,adj
brash,2,-1,adj
brashly,2,-1,anypos
brashness,2,-1,noun
brat,2,-1,noun
bravado,2,-1,noun
brave,2,1,adj
brave,2,1,verb
bravery,2,1,adj
bravery,2,1,noun
brazen,2,-1,anypos
brazenly,2,-1,anypos
brazenly,2,-1,anypos
brazenness,2,-1,noun
brazenness,2,-1,noun
breach,1,-1,adj
breach,1,-1,noun
break,1,-1,verb
break-point,2,-1,adj
break-point,2,-1,noun
breakdown,1,-1,verb
breakthrough,1,1,adj
breakthrough,1,1,noun
breakthroughs,1,1,adj
breakthroughs,1,1,noun
breathlessness,2,1,adj
breathlessness,2,1,noun
breathtaking,2,1,adj
breathtakingly,2,1,anypos
bright,1,1,adj
brighten,1,1,anypos
brightness,1,1,noun
brilliance,1,1,noun
brilliant,2,1,adj
brilliant,2,1,anypos
brilliantly,2,1,anypos
brimstone,2,-1,adj
brimstone,2,-1,noun
brisk,1,1,adj
bristle,2,-1,verb
brittle,1,-1,adj
broad,1,1,adj
broad-based,1,0,adj
broke,1,-1,adj
broken-hearted,2,-1,adj
brood,2,-1,verb
brook,2,1,verb
brotherly,1,1,adj
browbeat,2,-1,verb
bruise,1,-1,noun
brusque,2,-1,adj
brutal,2,-1,adj
brutalising,2,-1,adj
brutalising,2,-1,noun
brutalities,2,-1,anypos
brutalities,2,-1,noun
brutality,2,-1,noun
brutalize,2,-1,verb
brutalizing,2,-1,adj
brutally,2,-1,anypos
brute,2,-1,noun
brutish,2,-1,adj
bug,1,-1,verb
buckle,1,-1,verb
bulky,1,-1,adj
bull,1,1,adj
bull,1,1,noun
bullies,2,-1,adj
bullies,2,-1,noun
bullish,1,1,adj
bullish,1,1,noun
bully,2,-1,adj
bully,2,-1,noun
bullyingly,2,-1,anypos
bum,1,-1,noun
bumpy,1,-1,adj
bungle,2,-1,verb
bungler,2,-1,anypos
bunk,1,-1,noun
buoyant,1,1,adj
burden,2,-1,adj
burden,2,-1,noun
burdensome,2,-1,adj
burdensome,2,-1,anypos
burdensomely,2,-1,anypos
burn,2,-1,verb
busy,1,-1,adj
busybody,2,-1,noun
butcher,1,-1,verb
butchery,2,-1,noun
byzantine,2,-1,adj
cackle,2,-1,verb
cajole,2,-1,verb
calamities,2,-1,noun
calamitous,2,-1,adj
calamitously,2,-1,anypos
calamity,2,-1,anypos
calamity,2,-1,noun
callous,2,-1,adj
calm,1,1,adj
calm,1,1,verb
calming,2,1,anypos
calmness,1,1,noun
calumniate,2,-1,verb
calumniation,2,-1,noun
calumnies,2,-1,noun
calumnious,2,-1,adj
calumniously,2,-1,anypos
calumny,2,-1,noun
cancer,1,-1,noun
cancerous,1,-1,adj
candid,2,1,adj
candor,2,1,noun
cannibal,2,-1,noun
cannibalize,2,-1,verb
capable,1,1,adj
capability,1,1,noun
capably,1,1,adj
capitalize,1,1,verb
capitulate,1,-1,verb
capricious,2,-1,adj
capriciously,2,-1,anypos
capriciousness,2,-1,noun
capsize,1,-1,verb
captivate,2,1,verb
captivating,2,1,adj
captivation,2,1,noun
captive,1,-1,adj
care,1,1,verb
carefree,2,1,adj
careful,1,1,adj
careless,2,-1,adj
carelessness,2,-1,noun
caricature,2,-1,verb
carnage,2,-1,noun
carp,2,-1,verb
cartoon,1,-1,adj
cartoon,1,-1,noun
cartoonish,2,-1,anypos
cash-strapped,1,-1,adj
castigate,2,-1,verb
casualty,1,-1,noun
cataclysm,2,-1,noun
cataclysmal,2,-1,adj
cataclysmic,2,-1,adj
cataclysmically,2,-1,anypos
catalyst,2,1,adj
catalyst,2,1,noun
catastrophe,2,-1,anypos
catastrophe,2,-1,noun
catastrophes,2,-1,noun
catastrophic,2,-1,adj
catastrophic,2,-1,anypos
catastrophically,2,-1,anypos
catchy,2,1,adj
caustic,2,-1,adj
caustically,2,-1,anypos
cautionary,2,-1,adj
cautious,1,-1,adj
cave,1,-1,verb
ceaseless,1,0,adj
celebrate,2,1,verb
celebrated,2,1,adj
celebration,2,1,noun
celebratory,2,1,anypos
celebrity,1,1,noun
censure,2,-1,adj
censure,2,-1,noun
censure,2,-1,verb
central,1,0,adj
certain,1,0,anypos
certainly,2,0,anypos
certified,1,0,adj
chafe,2,-1,verb
chaff,2,-1,verb
chagrin,2,-1,noun
chagrin,2,-1,verb
challenge,1,-1,noun
challenge,1,-1,verb
challenging,1,-1,adj
champion,1,1,adj
champion,1,1,anypos
champ,1,1,noun
champion,1,1,noun
chant,1,0,adj
chant,1,0,noun
chaos,2,-1,noun
chaotic,2,-1,adj
charisma,2,-1,noun
charismatic,2,1,adj
charitable,1,1,adj
charitable,1,1,noun
charity,1,1,noun
charm,2,1,adj
charm,2,1,noun
charm,2,1,verb
charming,2,1,adj
charming,2,1,anypos
charmingly,2,1,adj
chaste,2,1,adj
chasten,2,-1,verb
chastise,2,-1,verb
chastisement,2,-1,anypos
chatter,2,-1,verb
chatterbox,2,-1,anypos
cheapen,2,-1,verb
cheap,2,-1,adj
cheat,2,-1,noun
cheat,2,-1,verb
cheater,2,-1,anypos
cheer,2,1,noun
cheer,2,1,verb
cheery,2,1,adj
cheerful,2,1,adj
cheerless,2,-1,adj
cherish,2,1,verb
cherished,2,1,adj
cherub,2,1,noun
chic,2,1,adj
chide,2,-1,verb
childish,2,-1,adj
chill,1,-1,verb
chilly,1,-1,adj
chit,2,-1,anypos
chivalry,2,1,noun
chivalrous,2,1,adj
choppy,1,-1,adj
choke,1,-1,verb
chore,1,-1,noun
chronic,1,-1,adj
chum,1,1,noun
civility,2,1,noun
civilization,1,1,noun
civilize,1,1,adj
civilize,1,1,verb
civil,1,1,adj
claim,1,0,anypos
clamor,1,-1,noun
clamorous,1,-1,adj
clandestine,1,0,adj
clarity,1,1,adj
clash,1,-1,adj
clash,1,-1,noun
classic,1,1,noun
clean,1,1,adj
cleanliness,1,1,noun
cleanse,1,1,verb
clear,1,1,anypos
clear-cut,2,1,adj
clearer,2,1,adj
clearer,2,1,noun
clearly,2,1,anypos
clever,2,1,adj
cliche,2,-1,anypos
cliched,2,-1,anypos
clique,1,-1,noun
clog,1,-1,verb
close,1,-1,adj
closeness,2,1,adj
closeness,2,1,noun
cloud,2,-1,verb
clout,2,1,adj
clout,2,1,noun
clumsy,2,-1,adj
co-operation,1,1,adj
co-operation,1,1,noun
coarse,1,-1,adj
coax,2,1,verb
cocky,2,-1,adj
coddle,1,1,verb
coerce,2,-1,verb
coercion,2,-1,noun
coercive,2,-1,adj
cogent,2,1,adj
cohesive,1,1,adj
cogitate,2,0,verb
cognizance,1,0,adj
cognizance,1,0,noun
cognizant,2,0,noun
cohere,1,1,verb
coherence,2,1,adj
coherence,2,1,noun
coherent,1,1,adj
cohesion,1,1,noun
